"urbrur","roof","walls","water","electcon","relat","sex","age","hhcivil","expend","income","savings","ori_hid","sampling_weight","household_weights"
"91",2,"4","3",3,1,5,"1",10,1,86299461,6.6e+07,2461892,21,100,25
"92",2,"4","3",3,1,1,"1",35,2,9811661,27300000,9635800,22,100,33.3333333333333
"93",2,"4","3",3,1,2,"2",37,2,14968340,7881893,8396035,22,100,33.3333333333333
"94",2,"4","3",3,1,3,"1",3,1,25544748,71700000,3446095,22,100,33.3333333333333
"95",2,"4","3",3,1,1,"1",41,2,85818988,5.5e+07,1878204,23,100,14.2857142857143
"96",2,"4","3",3,1,2,"2",35,2,55485481,61900000,8034531,23,100,14.2857142857143
"97",2,"4","3",3,1,3,"2",7,1,14585438,11500000,5761709,23,100,14.2857142857143
"98",2,"4","3",3,1,3,"2",9,1,46341461,42400000,9984098,23,100,14.2857142857143
"99",2,"4","3",3,1,3,"1",13,1,21859814,6554.998,8019461,23,100,14.2857142857143
"100",2,"4","3",3,1,3,"1",11,1,34153107,51400000,5987829,23,100,14.2857142857143
"101",2,"4","3",3,1,6,"2",70,4,80265456,652278.9,9312839,23,100,14.2857142857143
"102",2,"4","3",3,1,1,"2",52,4,59314728,56900000,8921214,24,100,20
"103",2,"4","3",3,1,3,"1",29,2,75856918,7031432,6045762,24,100,20
"104",2,"4","3",3,1,4,"2",28,2,84365201,76900000,7004084,24,100,20
"105",2,"4","3",3,1,5,"1",6,1,51700217,61300000,8199269,24,100,20
"106",2,"4","3",3,1,5,"2",3,1,87393636,40100000,5836485,24,100,20
"107",2,"4","3",4,1,1,"1",40,2,69996750,33400000,8082979,25,100,16.6666666666667
"108",2,"4","3",4,1,2,"2",37,2,44219744,5668515,7124536,25,100,16.6666666666667
"109",2,"4","3",4,1,3,"2",12,1,8409708,13600000,4069288,25,100,16.6666666666667
"110",2,"4","3",4,1,3,"1",14,1,69947720,27900000,3656122,25,100,16.6666666666667
"111",2,"4","3",4,1,3,"1",10,1,4155539,28200000,3166586,25,100,16.6666666666667
"112",2,"4","3",4,1,3,"1",7,1,65893149,32900000,7626399,25,100,16.6666666666667
"113",2,"2","3",3,1,1,"2",61,4,71150345,79700000,7460452,26,100,100
"114",2,"4","3",3,1,1,"1",39,2,77972174,71200000,5422026,27,100,16.6666666666667
"115",2,"4","3",3,1,2,"2",38,2,63416237,8750994,4243356,27,100,16.6666666666667
"116",2,"4","3",3,1,3,"1",6,1,4905168,31100000,5199343,27,100,16.6666666666667
"117",2,"4","3",3,1,3,"1",12,1,51369005,6837790,8994986,27,100,16.6666666666667
"118",2,"4","3",3,1,3,"1",14,1,52569479,2.6e+07,9389954,27,100,16.6666666666667
"119",2,"4","3",3,1,3,"1",9,1,29291472,13300000,5543651,27,100,16.6666666666667
"120",2,"4","3",4,4,1,"1",45,2,43949580,48400000,5578565,28,100,16.6666666666667
"121",2,"4","3",4,4,2,"2",44,2,59367371,11400000,6446225,28,100,16.6666666666667
"122",2,"4","3",4,4,3,"1",2,1,8639556,417940.7,648531.3,28,100,16.6666666666667
"123",2,"4","3",4,4,3,"2",5,1,86361289,27600000,9495205,28,100,16.6666666666667
"124",2,"4","3",4,4,3,"2",10,1,76168036,61800000,3122176,28,100,16.6666666666667
"125",2,"4","3",4,4,3,"1",1,1,47587240,77700000,5317135,28,100,16.6666666666667
"126",2,"4","3",4,4,1,"1",64,2,19209123,5975510,802186.8,29,100,14.2857142857143
"127",2,"4","3",4,4,2,"2",60,2,63311863,30900000,7076985,29,100,14.2857142857143
"128",2,"4","3",4,4,3,"1",9,1,74470198,94100000,8993213,29,100,14.2857142857143
"129",2,"4","3",4,4,3,"1",10,1,39075240,16800000,7936794,29,100,14.2857142857143
"130",2,"4","3",4,4,3,"1",7,1,93637425,58600000,7041728,29,100,14.2857142857143
"131",2,"4","3",4,4,3,"1",35,1,12827490,71100000,2058397,29,100,14.2857142857143
"132",2,"4","3",4,4,3,"2",34,1,2249924,3e+07,3481257,29,100,14.2857142857143
"133",2,"4","3",4,4,1,"1",33,2,21440126,23400000,9106117,30,100,16.6666666666667
"134",2,"4","3",4,4,2,"2",31,2,74741280,84200000,3106845,30,100,16.6666666666667
"135",2,"4","3",4,4,3,"1",5,1,32617021,79300000,9351929,30,100,16.6666666666667
"136",2,"4","3",4,4,3,"2",1,1,58013833,5062128,1715291,30,100,16.6666666666667
"137",2,"4","3",4,4,3,"1",3,1,87353492,65900000,6397928,30,100,16.6666666666667
"138",2,"4","3",4,4,3,"2",7,1,32660997,39200000,9922700,30,100,16.6666666666667
"139",2,"2","3",4,4,1,"1",52,2,79671711,79900000,2688933,31,100,11.1111111111111
"140",2,"2","3",4,4,2,"2",50,2,61104763,57500000,3486042,31,100,11.1111111111111
"141",2,"2","3",4,4,3,"1",16,1,4320920,50900000,3384073,31,100,11.1111111111111
"142",2,"2","3",4,4,3,"1",4,1,33958161,5.4e+07,3759711,31,100,11.1111111111111
"143",2,"2","3",4,4,3,"1",11,1,32972103,60400000,7140314,31,100,11.1111111111111
"144",2,"2","3",4,4,3,"2",18,1,49619907,93600000,4287802,31,100,11.1111111111111
"145",2,"2","3",4,4,3,"2",24,1,74890244,78100000,1906250,31,100,11.1111111111111
"146",2,"2","3",4,4,3,"2",7,1,98698020,46300000,3191785,31,100,11.1111111111111
"147",2,"2","3",4,4,3,"1",20,1,44275972,43900000,445326.3,31,100,11.1111111111111
"148",2,"4","3",4,4,1,"1",53,2,53338802,10800000,3861218,32,100,12.5
"149",2,"4","3",4,4,2,"2",52,2,38545901,93500000,8515441,32,100,12.5
"150",2,"4","3",4,4,3,"2",8,1,85670996,71900000,8868471,32,100,12.5
"151",2,"4","3",4,4,3,"1",1,1,62983614,58500000,1748101,32,100,12.5
"152",2,"4","3",4,4,3,"1",13,1,37258053,57100000,1796771,32,100,12.5
"153",2,"4","3",4,4,3,"1",6,1,39307857,21300000,7481808,32,100,12.5
"154",2,"4","3",4,4,3,"2",18,1,65067965,7064731,2032491,32,100,12.5
"155",2,"4","3",4,4,3,"2",4,1,21520995,96200000,6385962,32,100,12.5
"156",2,"4","3",4,4,1,"2",44,4,69788045,59700000,5604447,33,100,25
"157",2,"4","3",4,4,3,"1",19,1,50457221,22300000,9517249,33,100,25
"158",2,"4","3",4,4,3,"1",17,1,24664350,37400000,6388145,33,100,25
"159",2,"4","3",4,4,3,"2",22,1,54719967,39700000,4077445,33,100,25
"160",2,"4","3",4,4,1,"1",37,2,15803738,5946607,1268810,34,100,9.09090909090909
"161",2,"4","3",4,4,2,"2",32,2,56535852,34300000,6225367,34,100,9.09090909090909
"162",2,"4","3",4,4,3,"2",6,1,49141872,25400000,7283488,34,100,9.09090909090909
"163",2,"4","3",4,4,3,"1",1,1,33950204,45600000,8585494,34,100,9.09090909090909
"164",2,"4","3",4,4,3,"1",7,1,83344316,86100000,9168974,34,100,9.09090909090909
"165",2,"4","3",4,4,3,"1",11,1,8829910,68300000,1899814,34,100,9.09090909090909
"166",2,"4","3",4,4,3,"1",9,1,26967520,41200000,3648225,34,100,9.09090909090909
"167",2,"4","3",4,4,3,"2",1,1,24870321,9.8e+07,9742573,34,100,9.09090909090909
"168",2,"4","3",4,4,7,"1",17,1,19681513,74900000,4935434,34,100,9.09090909090909
"169",2,"4","3",4,4,7,"1",65,4,55926520,17500000,2829968,34,100,9.09090909090909
"170",2,"4","3",4,4,7,"1",15,1,58660185,63400000,70378.64,34,100,9.09090909090909
"171",2,"2","3",4,4,1,"2",42,4,79326105,50600000,8890487,35,100,20
"172",2,"2","3",4,4,3,"1",14,1,4529727,80900000,21073.89,35,100,20
"173",2,"2","3",4,4,3,"1",12,1,58665413,44300000,5046092,35,100,20
"174",2,"2","3",4,4,3,"1",10,1,46421361,58900000,7009357,35,100,20
"175",2,"2","3",4,4,3,"1",9,1,50132847,50200000,6608616,35,100,20
"176",2,"4","2",4,4,1,"1",52,2,61488473,65800000,4095416,36,100,25
"177",2,"4","2",4,4,2,"2",51,2,83096808,96600000,9865120,36,100,25
"178",2,"4","2",4,4,3,"2",17,1,98766142,8640637,2509052,36,100,25
"179",2,"4","2",4,4,3,"2",14,1,79316407,763485.9,7788024,36,100,25
"180",2,"2","3",4,4,1,"1",43,2,54322731,82700000,5922654,37,100,25
"181",2,"2","3",4,4,2,"2",39,2,92985153,29500000,9391037,37,100,25
"182",2,"2","3",4,4,3,"2",12,1,12425744,71700000,1638093,37,100,25
"183",2,"2","3",4,4,3,"2",9,1,21990144,34900000,269146,37,100,25
"184",2,"4","3",4,4,1,"1",40,2,32668501,76800000,9182207,38,100,12.5
"185",2,"4","3",4,4,2,"2",37,2,35997540,84300000,1383717,38,100,12.5
"186",2,"4","3",4,4,3,"2",15,1,16214901,3607129,2126586,38,100,12.5
"187",2,"4","3",4,4,3,"2",5,1,43841898,37600000,840494.7,38,100,12.5
"188",2,"4","3",4,4,3,"1",11,1,14861500,20500000,2001593,38,100,12.5
"189",2,"4","3",4,4,3,"1",7,1,54602474,10300000,6598798,38,100,12.5
"190",2,"4","3",4,4,3,"1",8,1,81565517,65800000,6669479,38,100,12.5
"191",2,"4","3",4,4,3,"1",2,1,16570492,52500000,1032303,38,100,12.5
"192",2,"2","3",4,4,1,"1",44,2,74954903,28100000,6908200,39,100,16.6666666666667
"193",2,"2","3",4,4,3,"1",4,1,69461137,35900000,3376812,39,100,16.6666666666667
"194",2,"2","3",4,4,3,"2",41,2,59102839,15400000,7834180,39,100,16.6666666666667
"195",2,"2","3",4,4,3,"1",13,1,10624883,76600000,2640444,39,100,16.6666666666667
"196",2,"2","3",4,4,3,"2",11,1,26194492,26700000,426800.7,39,100,16.6666666666667
"197",2,"2","3",4,4,3,"2",16,1,67425901,74500000,2693038,39,100,16.6666666666667
"198",2,"2","3",4,1,1,"2",51,4,36004552,3071751,5046465,40,100,20
"199",2,"2","3",4,1,3,"1",23,1,81313872,45700000,2587399,40,100,20
"200",2,"2","3",4,1,3,"2",31,1,98689502,59100000,2096639,40,100,20
"201",2,"2","3",4,1,3,"2",84,1,46776959,76500000,8931156,40,100,20
"202",2,"2","3",4,1,3,"1",27,1,74515539,68600000,9691955,40,100,20
"203",2,"4","3",4,4,1,"1",25,2,61457396,29800000,8437387,41,100,14.2857142857143
"204",2,"4","3",4,4,2,"2",21,2,64108825,56100000,8191051,41,100,14.2857142857143
"205",2,"4","3",4,4,3,"1",1,1,43742594,6628053,8785286,41,100,14.2857142857143
"206",2,"4","3",4,4,7,"1",27,1,880468,36600000,5259376,41,100,14.2857142857143
"207",2,"4","3",4,4,7,"1",26,1,39853027,24300000,2493018,41,100,14.2857142857143
"208",2,"4","3",4,4,7,"2",24,1,75543535,24700000,6953712,41,100,14.2857142857143
"209",2,"4","3",4,4,7,"2",21,1,93991834,5.6e+07,3659243,41,100,14.2857142857143
"210",2,"2","3",2,4,1,"1",63,2,26920733,2.4e+07,748247.8,42,100,25
"211",2,"2","3",2,4,2,"2",29,2,11058165,27800000,3023509,42,100,25
"212",2,"2","3",2,4,3,"1",3,1,22978951,35600000,5395850,42,100,25
"213",2,"2","3",2,4,3,"1",5,1,26004151,43600000,5253515,42,100,25
"214",2,"4","3",4,4,1,"1",43,2,90653211,79200000,5980768,43,100,14.2857142857143
"215",2,"4","3",4,4,2,"2",38,2,84875381,2737032,1463218,43,100,14.2857142857143
"216",2,"4","3",4,4,3,"1",4,1,85067314,71300000,5723511,43,100,14.2857142857143
"217",2,"4","3",4,4,3,"1",16,1,91568118,66700000,4865122,43,100,14.2857142857143
"218",2,"4","3",4,4,3,"2",13,1,16439614,81800000,8866739,43,100,14.2857142857143
"219",2,"4","3",4,4,3,"2",8,1,2254705,70700000,251874.1,43,100,14.2857142857143
"220",2,"4","3",4,4,3,"1",9,1,92015946,31300000,2876370,43,100,14.2857142857143
"221",2,"2","3",4,4,1,"1",30,2,80278933,5882925,1087372,44,100,20
"222",2,"2","3",4,4,2,"2",27,2,18025222,60300000,6957448,44,100,20
"223",2,"2","3",4,4,3,"2",7,1,96938872,8.8e+07,5249104,44,100,20
"224",2,"2","3",4,4,3,"1",5,1,46376124,21800000,7856627,44,100,20
"225",2,"2","3",4,4,3,"2",9,1,94680411,14300000,3574063,44,100,20
"226",2,"4","3",4,4,1,"2",55,4,49216804,6.2e+07,3763454,45,100,14.2857142857143
"227",2,"4","3",4,4,3,"2",29,1,1055896,6275461,2543683,45,100,14.2857142857143
"228",2,"4","3",4,4,3,"1",22,1,41610989,51700000,835790.2,45,100,14.2857142857143
"229",2,"4","3",4,4,3,"1",24,1,50548834,15500000,9317861,45,100,14.2857142857143
"230",2,"4","3",4,4,3,"1",27,1,38752759,43300000,3491604,45,100,14.2857142857143
"231",2,"4","3",4,4,3,"2",32,1,77070612,7052758,7898699,45,100,14.2857142857143
"232",2,"4","3",4,4,3,"1",14,1,20953253,57900000,8290453,45,100,14.2857142857143
"233",2,"4","3",4,4,1,"2",48,4,61840856,22300000,7395096,46,100,16.6666666666667
"234",2,"4","3",4,4,3,"1",20,1,30934584,33600000,6358183,46,100,16.6666666666667
"235",2,"4","3",4,4,3,"1",22,1,1209179,40900000,1343992,46,100,16.6666666666667
"236",2,"4","3",4,4,3,"1",13,1,52476561,18100000,1759422,46,100,16.6666666666667
"237",2,"4","3",4,4,3,"1",28,1,19104967,44500000,3056905,46,100,16.6666666666667
"238",2,"4","3",4,4,3,"1",31,1,71792483,43500000,8455466,46,100,16.6666666666667
"239",2,"4","3",4,4,1,"1",41,2,92681336,72200000,6348390,47,100,14.2857142857143
"240",2,"4","3",4,4,2,"2",33,2,8943730,19800000,7078552,47,100,14.2857142857143
"241",2,"4","3",4,4,3,"2",3,1,6954809,84900000,5726567,47,100,14.2857142857143
"242",2,"4","3",4,4,3,"1",12,1,84850442,92400000,578236.8,47,100,14.2857142857143
"243",2,"4","3",4,4,3,"1",2,1,88245648,35800000,3526223,47,100,14.2857142857143
"244",2,"4","3",4,4,3,"2",8,1,87744737,2955921,7624535,47,100,14.2857142857143
"245",2,"4","3",4,4,3,"1",14,1,37339771,58800000,8576560,47,100,14.2857142857143
"246",2,"4","9",4,4,1,"1",41,2,39754140,9.1e+07,6336570,48,100,16.6666666666667
"247",2,"4","9",4,4,2,"2",34,2,85705471,33900000,1236931,48,100,16.6666666666667
"248",2,"4","9",4,4,3,"1",5,1,81017911,67200000,2577024,48,100,16.6666666666667
"249",2,"4","9",4,4,3,"1",7,1,25354919,18500000,2359555,48,100,16.6666666666667
"250",2,"4","9",4,4,3,"2",2,1,98928851,93300000,8071626,48,100,16.6666666666667
"251",2,"4","9",4,4,7,"1",40,1,70457363,95400000,4489896,48,100,16.6666666666667
"252",2,"4","3",4,4,1,"1",53,2,91195273,19800000,9723166,49,100,20
"253",2,"4","3",4,4,2,"2",57,2,35885602,67300000,6322875,49,100,20
"254",2,"4","3",4,4,3,"1",20,1,92336130,1845136,5581318,49,100,20
"255",2,"4","3",4,4,3,"2",28,1,1949310,79400000,9840266,49,100,20
"256",2,"4","3",4,4,3,"2",22,1,59275675,14100000,9534918,49,100,20
"257",2,"4","2",4,4,1,"1",70,2,64211619,83700000,2518914,50,100,14.2857142857143
"258",2,"4","2",4,4,2,"2",47,2,35582840,70200000,9181216,50,100,14.2857142857143
"259",2,"4","2",4,4,3,"1",14,1,15904383,85700000,1861326,50,100,14.2857142857143
"260",2,"4","2",4,4,3,"2",22,1,42577654,94800000,4194328,50,100,14.2857142857143
"261",2,"4","2",4,4,3,"1",17,1,63674152,23500000,4821830,50,100,14.2857142857143
"262",2,"4","2",4,4,3,"2",23,1,6156974,50700000,8578126,50,100,14.2857142857143
"263",2,"4","2",4,4,3,"1",15,1,17577775,53700000,8720197,50,100,14.2857142857143
"264",2,"2","3",4,4,1,"1",37,2,84372073,7.5e+07,5806803,51,100,20
"265",2,"2","3",4,4,2,"2",32,2,17423654,54900000,2352332,51,100,20
"266",2,"2","3",4,4,3,"2",3,1,32749426,72500000,3052271,51,100,20
"267",2,"2","3",4,4,3,"1",9,1,23740342,13200000,2626192,51,100,20
"268",2,"2","3",4,4,3,"1",10,1,56148732,6598660,1877768,51,100,20
"269",2,"4","3",4,4,1,"1",67,4,16558397,42700000,3541536,52,100,33.3333333333333
"270",2,"4","3",4,4,3,"2",30,1,11834230,95500000,4365311,52,100,33.3333333333333
"271",2,"4","3",4,4,3,"2",31,1,65899783,6396281,6402931,52,100,33.3333333333333
"272",2,"4","3",4,4,1,"1",44,2,15124299,67900000,2313460,53,100,12.5
"273",2,"4","3",4,4,2,"2",42,2,48258263,44500000,1194345,53,100,12.5
"274",2,"4","3",4,4,3,"1",10,1,38152093,5.9e+07,1058701,53,100,12.5
"275",2,"4","3",4,4,3,"1",8,1,58127689,90600000,6521050,53,100,12.5
"276",2,"4","3",4,4,3,"2",14,1,8282567,80600000,1074954,53,100,12.5
"277",2,"4","3",4,4,3,"1",12,1,38375202,16500000,2998493,53,100,12.5
"278",2,"4","3",4,4,3,"2",6,1,59727079,65500000,5205354,53,100,12.5
"279",2,"4","3",4,4,3,"1",2,1,62016916,60300000,5843936,53,100,12.5
"280",2,"4","3",4,4,1,"1",65,2,61932927,77200000,6384010,54,100,50
"281",2,"4","3",4,4,2,"2",62,2,16728258,55800000,4304048,54,100,50
"282",2,"2","3",4,4,1,"1",26,2,30388567,4814803,8911842,55,100,20
"283",2,"2","3",4,4,2,"2",25,2,78336215,2.4e+07,9043192,55,100,20
"284",2,"2","3",4,4,3,"1",8,1,41150159,83800000,7917050,55,100,20
"285",2,"2","3",4,4,3,"2",6,1,70968032,590433.8,9759859,55,100,20
"286",2,"2","3",4,4,3,"1",3,1,71963018,61700000,1787568,55,100,20
"287",2,"2","3",4,4,1,"1",47,2,73007882,51300000,1446397,56,100,20
"288",2,"2","3",4,4,2,"2",40,2,69888490,90400000,66566.95,56,100,20
"289",2,"2","3",4,4,3,"2",20,1,11631396,65800000,6069027,56,100,20
"290",2,"2","3",4,4,3,"1",14,1,65915787,57900000,1358950,56,100,20
"291",2,"2","3",4,4,7,"1",36,1,44349417,516130.1,2011280,56,100,20
"292",2,"2","3",4,4,1,"1",32,2,25023019,3656336,2595267,57,100,33.3333333333333
"293",2,"2","3",4,4,2,"2",23,2,6034711,30600000,1628229,57,100,33.3333333333333
"294",2,"2","3",4,4,7,"1",18,1,93406367,79500000,8324946,57,100,33.3333333333333
"295",2,"4","2",4,4,1,"1",60,2,82437432,87600000,5512102,58,100,25
"296",2,"4","2",4,4,2,"2",57,2,14800736,73100000,9731169,58,100,25
"297",2,"4","2",4,4,3,"2",22,1,33405867,8.4e+07,8290916,58,100,25
"298",2,"4","2",4,4,3,"2",16,1,12447046,8032307,5522918,58,100,25
"299",2,"4","3",4,4,1,"1",40,2,69687206,4.8e+07,8847618,59,100,16.6666666666667
"300",2,"4","3",4,4,2,"2",32,2,17282341,48500000,5261790,59,100,16.6666666666667
"301",2,"4","3",4,4,3,"2",8,1,48184425,7.3e+07,3947334,59,100,16.6666666666667
"302",2,"4","3",4,4,7,"2",30,1,93317610,9149297,2720101,59,100,16.6666666666667
"303",2,"4","3",4,4,7,"2",36,1,84951067,63600000,7700912,59,100,16.6666666666667
"304",2,"4","3",4,4,7,"2",28,1,80706108,50500000,3820524,59,100,16.6666666666667
"305",2,"2","3",4,4,1,"1",32,2,86610132,45100000,9433371,60,100,25
"306",2,"2","3",4,4,2,"2",28,2,29082161,26800000,8915288,60,100,25
"307",2,"2","3",4,4,3,"2",9,1,34361437,80400000,5873703,60,100,25
"308",2,"2","3",4,4,3,"1",8,1,84868598,36200000,8274726,60,100,25
"309",2,"2","3",4,4,1,"1",30,2,51860708,75100000,3294340,61,100,50
"310",2,"2","3",4,4,2,"2",28,2,15249732,7189942,1554891,61,100,50
"311",2,"4","3",4,4,1,"1",48,2,79968196,98300000,4400081,62,100,12.5
